competitor,dead_url,our_replacement,ahrefs_check
Sakura House,https://www.sakura-house.com/thai/search/,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/thai/search/&mode=exact
Sakura House,https://www.sakura-house.com/kr/building/building/ojima-tokyo-2,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/kr/building/building/ojima-tokyo-2&mode=exact
Sakura House,https://www.sakura-house.com/indonesian/building/building/ojima-tokyo-3,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/indonesian/building/building/ojima-tokyo-3&mode=exact
Sakura House,https://www.sakura-house.com/cn/search,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/cn/search&mode=exact
Sakura House,https://www.sakura-house.com/cn/building/building/shinjuku-akebonobashi-5,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/cn/building/building/shinjuku-akebonobashi-5&mode=exact
Sakura House,https://www.sakura-house.com/indonesian/building/building/shibuya-ebisu-apartment-2,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/indonesian/building/building/shibuya-ebisu-apartment-2&mode=exact
Sakura House,https://www.sakura-house.com/jp/building/building/tabata-3-dorm,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/jp/building/building/tabata-3-dorm&mode=exact
Sakura House,https://www.sakura-house.com/es/building/building/shinjuku-akebonobashi-2,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/es/building/building/shinjuku-akebonobashi-2&mode=exact
Sakura House,https://www.sakura-house.com/fr/search/,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/fr/search/&mode=exact
Sakura House,https://www.sakura-house.com/fr/building/building/ojima-tokyo-1,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/fr/building/building/ojima-tokyo-1&mode=exact
Sakura House,https://www.sakura-house.com/es/building/building/shinjuku-akebonobashi-4,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/es/building/building/shinjuku-akebonobashi-4&mode=exact
Sakura House,https://www.sakura-house.com/de/building/building/tabata-3-dorm,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/de/building/building/tabata-3-dorm&mode=exact
Sakura House,https://www.sakura-house.com/thai/building/building/shibuya-ebisu-apartment,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/thai/building/building/shibuya-ebisu-apartment&mode=exact
Sakura House,https://www.sakura-house.com/thai/building/building/tabata-3-dorm,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/thai/building/building/tabata-3-dorm&mode=exact
Sakura House,https://www.sakura-house.com/tw/building/building/shinjuku-akebonobashi-2,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/tw/building/building/shinjuku-akebonobashi-2&mode=exact
Sakura House,https://www.sakura-house.com/tw/building/building/ojima-tokyo-1,https://www.tokyo-expat.com/en/blog/find-apartment-tokyo-foreigner,https://ahrefs.com/backlink-checker/?input=https%3A//www.sakura-house.com/tw/building/building/ojima-tokyo-1&mode=exact
